genotype	accession	plant	leaf.side	leaf.disc	name	date	glandular	non.glandular	typeVI	typeIandIV	typeVII	all
S. chm LA2695 	LA2695	2	adaxial	2	Ruy	31-jan	15	69	15	0	0	84
S. chm LA2695 	LA2695	2	abaxial	1	Ruy	31-jan	3	280	3	0	0	283
S. chm LA2695 	LA2695	2	abaxial	2	Ruy	31-jan	4	260	4	0	0	264
S. chm LA2695 	LA2695	3	adaxial	1	Marc	31-jan	33	202	33	0	0	235
S. chm LA2695 	LA2695	3	adaxial	2	Marc	31-jan	18	177	18	0	0	195
S. chm LA2695 	LA2695	3	abaxial	1	Marc	31-jan	13	265	13	0	0	278
S. chm LA2695 	LA2695	3	abaxial	2	Marc	31-jan	6	312	6	0	0	318
S. chm LA2695 	LA2695	1	adaxial	1	Ruy	02-feb	17	140	5	0	12	157
S. chm LA2695 	LA2695	1	adaxial	2	Ruy	02-feb	11	107	6	0	5	118
S. chm LA2695 	LA2695	1	abaxial	1	Ruy	02-feb	3	424	3	0	0	427
S. chm LA2695 	LA2695	1	abaxial	2	Ruy	02-feb	5	490	5	0	0	495
S. chm LA2695 	LA2695	4	adaxial	1	Petra	02-feb	9	96	9	0	0	105
S. chm LA2695 	LA2695	4	adaxial	2	Petra	02-feb	24	102	24	0	0	126
S. chm LA2695 	LA2695	4	abaxial	1	Petra	02-feb	4	173	4	0	0	177
S. chm LA2695 	LA2695	4	abaxial	2	Petra	02-feb	6	158	6	0	0	164
S. lyc LA4024 	LA4024	1	adaxial	1	Aleksandra	27-Mar	23	15	13	0	10	38
S. lyc LA4024 	LA4024	1	adaxial	2	Aleksandra	27-Mar	12	11	12	0	0	23
S. lyc LA4024 	LA4024	1	abaxial	1	Aleksandra	27-Mar	150	70	150	0	0	220
S. lyc LA4024 	LA4024	1	abaxial	2	Aleksandra	27-Mar	142	69	142	0	0	211
S. lyc LA4024 	LA4024	2	adaxial	1	Aleksandra	27-Mar	29	43	16	0	13	72
S. lyc LA4024 	LA4024	2	adaxial	2	Aleksandra	27-Mar	34	14	34	0	0	48
S. lyc LA4024 	LA4024	2	abaxial	1	Aleksandra	27-Mar	46	365	46	0	0	411
S. lyc LA4024 	LA4024	2	abaxial	2	Aleksandra	27-Mar	24	218	24	0	0	242
S. lyc LA4024 	LA4024	3	adaxial	1	Sanne	27-Mar	12	63	12	0	0	75
S. lyc LA4024 	LA4024	3	adaxial	2	Sanne	27-Mar	14	42	14	0	0	56
S. lyc LA4024 	LA4024	3	abaxial	1	Sanne	27-Mar	12	137	12	0	0	149
S. lyc LA4024 	LA4024	3	abaxial	2	Sanne	27-Mar	11	148	11	0	0	159
S. hab LA0407 	LA0407	3	adaxial	1	Aleksandra	30-jan	24	8	24	0	0	32
S. hab LA0407 	LA0407	3	adaxial	2	Aleksandra	30-jan	17	10	17	0	0	27
S. hab LA0407 	LA0407	3	abaxial	1	Aleksandra	30-jan	40	62	34	6	0	102
S. hab LA0407 	LA0407	3	abaxial	2	Aleksandra	30-jan	26	68	23	3	0	94
S. hab LA0407 	LA0407	1	adaxial	1	Ruy	31-jan	20	7	20	0	0	27
S. hab LA0407 	LA0407	1	adaxial	2	Ruy	31-jan	19	5	19	0	0	24
S. hab LA0407 	LA0407	1	abaxial	1	Ruy	31-jan	23	153	23	0	0	176
S. hab LA0407 	LA0407	1	abaxial	2	Ruy	31-jan	5	122	5	0	0	127
S. hab LA0407 	LA0407	2	adaxial	1	Ruy	01-feb	18	13	11	4	3	31
S. hab LA0407 	LA0407	2	adaxial	2	Ruy	01-feb	20	9	9	7	4	29
S. hab LA0407 	LA0407	2	abaxial	1	Ruy	01-feb	16	104	4	10	2	120
S. hab LA0407 	LA0407	2	abaxial	2	Ruy	01-feb	21	75	7	14	0	96
S. hab LA0407 	LA0407	4	adaxial	1	Michelle	01-feb	56	9	45	11	0	65
S. hab LA0407 	LA0407	4	adaxial	2	Michelle	01-feb	34	41	28	6	0	75
S. hab LA0407 	LA0407	4	abaxial	1	Michelle	01-feb	80	129	67	13	0	209
S. hab LA0407 	LA0407	4	abaxial	2	Michelle	01-feb	102	90	71	31	0	192
S. hab LA0407 	LA0407	5	adaxial	1	Sanne	02-feb	12	24	12	0	0	36
S. hab LA0407 	LA0407	5	adaxial	2	Sanne	02-feb	41	24	41	0	0	65
S. hab LA0407 	LA0407	5	abaxial	1	Sanne	02-feb	24	106	19	5	0	130
S. hab LA0407 	LA0407	5	abaxial	2	Sanne	02-feb	28	130	22	6	0	158
S. pen LA0716 	LA0716	5	adaxial	1	Marc	30-jan	96	0	1	95	0	96
S. pen LA0716 	LA0716	5	adaxial	2	Marc	30-jan	138	0	1	137	0	138
S. pen LA0716 	LA0716	5	abaxial	1	Marc	30-jan	73	0	0	73	0	73
S. pen LA0716 	LA0716	5	abaxial	2	Marc	30-jan	181	0	0	181	0	181
S. pen LA0716 	LA0716	3	adaxial	1	Marc	31-jan	94	0	0	94	0	94
S. pen LA0716 	LA0716	3	adaxial	2	Marc	31-jan	109	0	0	109	0	109
S. pen LA0716 	LA0716	3	abaxial	1	Marc	31-jan	53	0	0	53	0	53
S. pen LA0716 	LA0716	3	abaxial	2	Marc	31-jan	210	0	3	207	0	210
S. pen LA0716 	LA0716	1	adaxial	1	Marc	01-feb	46	0	0	46	0	46
S. pen LA0716 	LA0716	1	adaxial	2	Marc	01-feb	108	0	0	108	0	108
S. pen LA0716 	LA0716	1	abaxial	1	Marc	01-feb	109	0	0	109	0	109
S. pen LA0716 	LA0716	1	abaxial	2	Marc	01-feb	156	0	0	156	0	156
S. pen LA0716 	LA0716	2	adaxial	1	Aleksandra	01-feb	123	0	2	121	0	123
S. pen LA0716 	LA0716	2	adaxial	2	Aleksandra	01-feb	131	0	1	130	0	131
S. pen LA0716 	LA0716	2	abaxial	1	Aleksandra	01-feb	141	0	1	140	0	141
S. pen LA0716 	LA0716	2	abaxial	2	Aleksandra	01-feb	150	0	2	148	0	150
S. pen LA0716 	LA0716	4	adaxial	1	Michelle	01-feb	73	0	0	73	0	73
S. pen LA0716 	LA0716	4	adaxial	2	Michelle	01-feb	43	0	0	43	0	43
S. pen LA0716 	LA0716	4	abaxial	1	Michelle	01-feb	200	0	0	200	0	200
S. pen LA0716 	LA0716	4	abaxial	2	Michelle	01-feb	130	0	0	130	0	130
S. neo LA0735 	LA0735	3	adaxial	1	Michelle	30-jan	1	77	1	0	0	78
S. neo LA0735 	LA0735	3	adaxial	2	Michelle	30-jan	4	35	4	0	0	39
S. neo LA0735 	LA0735	3	abaxial	1	Michelle	30-jan	4	195	4	0	0	199
S. neo LA0735 	LA0735	3	abaxial	2	Michelle	30-jan	1	74	1	0	0	75
S. neo LA0735 	LA0735	4	adaxial	1	Aleksandra	30-jan	34	21	34	0	0	55
S. neo LA0735 	LA0735	4	adaxial	2	Aleksandra	30-jan	14	5	14	0	0	19
S. neo LA0735 	LA0735	4	abaxial	1	Aleksandra	30-jan	12	63	12	0	0	75
S. neo LA0735 	LA0735	4	abaxial	2	Aleksandra	30-jan	6	58	6	0	0	64
S. neo LA0735 	LA0735	5	adaxial	1	Aleksandra	31-jan	17	47	17	0	0	64
S. neo LA0735 	LA0735	5	adaxial	2	Aleksandra	31-jan	18	30	18	0	0	48
S. neo LA0735 	LA0735	5	abaxial	1	Aleksandra	31-jan	10	130	10	0	0	140
S. neo LA0735 	LA0735	5	abaxial	2	Aleksandra	31-jan	7	119	7	0	0	126
S. neo LA0735 	LA0735	1	adaxial	1	Aleksandra	01-feb	11	46	3	0	8	57
S. neo LA0735 	LA0735	1	adaxial	2	Aleksandra	01-feb	16	52	3	0	13	68
S. neo LA0735 	LA0735	1	abaxial	1	Aleksandra	01-feb	7	122	7	0	0	129
S. neo LA0735 	LA0735	1	abaxial	2	Aleksandra	01-feb	18	144	18	0	0	162
S. neo LA0735 	LA0735	2	adaxial	1	Ruy	01-feb	19	29	19	0	0	48
S. neo LA0735 	LA0735	2	adaxial	2	Ruy	01-feb	16	20	2	0	14	36
S. neo LA0735 	LA0735	2	abaxial	1	Ruy	01-feb	11	26	8	0	3	37
S. neo LA0735 	LA0735	2	abaxial	2	Ruy	01-feb	10	40	6	0	4	50
S. hab PI127826 	PI127826	3	adaxial	1	Marc	01-feb	125	3	47	78	0	128
S. hab PI127826 	PI127826	3	adaxial	2	Marc	01-feb	92	2	41	51	0	94
S. hab PI127826 	PI127826	3	abaxial	1	Marc	01-feb	316	0	51	265	0	316
S. hab PI127826 	PI127826	3	abaxial	2	Marc	01-feb	212	1	59	153	0	213
S. hab PI127826 	PI127826	5	adaxial	1	Ruy	01-feb	153	10	63	76	14	163
S. hab PI127826 	PI127826	5	adaxial	2	Ruy	01-feb	192	24	67	110	15	216
S. hab PI127826 	PI127826	5	abaxial	1	Ruy	01-feb	166	2	36	126	4	168
S. hab PI127826 	PI127826	5	abaxial	2	Ruy	01-feb	213	4	60	144	9	217
S. hab PI127826 	PI127826	1	adaxial	1	Ruy	02-feb	124	28	54	68	2	152
S. hab PI127826 	PI127826	1	adaxial	2	Ruy	02-feb	166	30	98	60	8	196
S. hab PI127826 	PI127826	1	abaxial	1	Ruy	02-feb	194	13	46	148	0	207
S. hab PI127826 	PI127826	1	abaxial	2	Ruy	02-feb	179	11	75	104	0	190
S. hab PI127826 	PI127826	2	adaxial	1	Sanne	02-feb	15	8	10	5	0	23
S. hab PI127826 	PI127826	2	adaxial	2	Sanne	02-feb	22	11	17	5	0	33
S. hab PI127826 	PI127826	2	abaxial	1	Sanne	02-feb	45	11	3	42	0	56
S. hab PI127826 	PI127826	2	abaxial	2	Sanne	02-feb	32	9	5	27	0	41
S. hab PI127826 	PI127826	4	adaxial	1	Michelle	02-feb	117	280	97	20	0	397
S. hab PI127826 	PI127826	4	adaxial	2	Michelle	02-feb	52	192	42	10	0	244
S. hab PI127826 	PI127826	4	abaxial	1	Michelle	02-feb	111	250	77	34	0	361
S. hab PI127826 	PI127826	4	abaxial	2	Michelle	02-feb	39	250	24	15	0	289
S. hab PI134418 	PI134418	1	adaxial	1	Sanne	30-jan	30	11	27	3	0	41
S. hab PI134418 	PI134418	1	adaxial	2	Sanne	30-jan	11	13	8	3	0	24
S. hab PI134418 	PI134418	1	abaxial	1	Sanne	30-jan	33	38	26	7	0	71
S. hab PI134418 	PI134418	1	abaxial	2	Sanne	30-jan	20	19	11	9	0	39
S. hab PI134418 	PI134418	2	adaxial	1	Aleksandra	31-jan	44	20	44	0	0	64
S. hab PI134418 	PI134418	2	adaxial	2	Aleksandra	31-jan	45	37	45	0	0	82
