genotype	plant	side	leaf.disk	name	date	glandular	non.glandular	typeVI	typeIandIV	typeVII	all	area.mm2
S.lyc LA4024 	1	adaxial	2	Aleksandra	27-Mar	14	11	12	0	0	25	12.56637061
S.lyc LA4024 	1	abaxial	1	Aleksandra	27-Mar	25	70	150	0	0	95	12.56637061
S.lyc LA4024 	1	abaxial	2	Aleksandra	27-Mar	23	69	142	0	0	92	12.56637061
S.lyc LA4024 	2	adaxial	1	Aleksandra	27-Mar	29	43	16	0	13	72	12.56637061
S.lyc LA4024 	2	adaxial	2	Aleksandra	27-Mar	44	14	34	0	0	58	12.56637061
S.lyc LA4024 	2	abaxial	1	Aleksandra	27-Mar	46	365	46	0	0	411	12.56637061
S.lyc LA4024 	2	abaxial	2	Aleksandra	27-Mar	24	218	24	0	0	242	12.56637061
S.lyc LA4024 	3	adaxial	1	Sanne	27-Mar	12	63	12	0	0	75	12.56637061
S.lyc LA4024 	3	adaxial	2	Sanne	27-Mar	14	42	14	0	0	56	12.56637061
S.lyc LA4024 	3	abaxial	1	Sanne	27-Mar	12	137	12	0	0	149	12.56637061
S.lyc LA4024 	3	abaxial	2	Sanne	27-Mar	11	148	11	0	0	159	12.56637061
S.hab LA0407 	3	adaxial	1	Aleksandra	30-Jan	24	8	24	0	0	32	12.56637061
S.hab LA0407 	3	adaxial	2	Aleksandra	30-Jan	17	10	17	0	0	27	12.56637061
S.hab LA0407 	3	abaxial	1	Aleksandra	30-Jan	42	62	34	6	0	104	12.56637061
S.hab LA0407 	3	abaxial	2	Aleksandra	30-Jan	28	68	23	3	0	96	12.56637061
S.hab LA0407 	1	adaxial	1	Ruy	31-Jan	20	7	20	0	0	27	12.56637061
S.hab LA0407 	1	adaxial	2	Ruy	31-Jan	19	5	19	0	0	24	12.56637061
S.hab LA0407 	1	abaxial	1	Ruy	31-Jan	23	153	23	0	0	176	12.56637061
S.hab LA0407 	1	abaxial	2	Ruy	31-Jan	5	122	5	0	0	127	12.56637061
S.hab LA0407 	2	adaxial	1	Ruy	01-Feb	18	13	11	4	3	31	12.56637061
S.hab LA0407 	2	adaxial	2	Ruy	01-Feb	20	9	9	7	4	29	12.56637061
S.hab LA0407 	2	abaxial	1	Ruy	01-Feb	16	104	4	10	2	120	12.56637061
S.hab LA0407 	2	abaxial	2	Ruy	01-Feb	21	75	7	14	0	96	12.56637061
S.hab LA0407 	4	adaxial	1	Michelle	01-Feb	56	9	45	11	0	65	12.56637061
S.hab LA0407 	4	adaxial	2	Michelle	01-Feb	34	41	28	6	0	75	12.56637061
S.hab LA0407 	4	abaxial	1	Michelle	01-Feb	80	129	67	13	0	209	12.56637061
S.hab LA0407 	4	abaxial	2	Michelle	01-Feb	102	90	71	31	0	192	12.56637061
S.hab LA0407 	5	adaxial	1	Sanne	02-Feb	12	24	12	0	0	36	12.56637061
S.hab LA0407 	5	adaxial	2	Sanne	02-Feb	41	24	41	0	0	65	12.56637061
S.hab LA0407 	5	abaxial	1	Sanne	02-Feb	24	106	19	5	0	130	12.56637061
S.hab LA0407 	5	abaxial	2	Sanne	02-Feb	28	130	22	6	0	158	12.56637061
S.pen LA0716 	5	adaxial	1	Marc	30-Jan	96	0	1	95	0	96	12.56637061
S.pen LA0716 	5	adaxial	2	Marc	30-Jan	138	0	1	137	0	138	12.56637061
S.pen LA0716 	5	abaxial	1	Marc	30-Jan	73	0	0	73	0	73	12.56637061
S.pen LA0716 	5	abaxial	2	Marc	30-Jan	181	0	0	181	0	181	12.56637061
S.pen LA0716 	3	adaxial	1	Marc	31-Jan	94	0	0	94	0	94	12.56637061
S.pen LA0716 	3	adaxial	2	Marc	31-Jan	109	0	0	109	0	109	12.56637061
S.pen LA0716 	3	abaxial	1	Marc	31-Jan	53	0	0	53	0	53	12.56637061
S.pen LA0716 	3	abaxial	2	Marc	31-Jan	210	0	3	207	0	210	12.56637061
S.pen LA0716 	1	adaxial	1	Marc	01-Feb	46	0	0	46	0	46	12.56637061
S.pen LA0716 	1	adaxial	2	Marc	01-Feb	108	0	0	108	0	108	12.56637061
S.pen LA0716 	1	abaxial	1	Marc	01-Feb	109	0	0	109	0	109	12.56637061
S.pen LA0716 	1	abaxial	2	Marc	01-Feb	156	0	0	156	0	156	12.56637061
S.pen LA0716 	2	adaxial	1	Aleksandra	01-Feb	123	0	2	121	0	123	12.56637061
S.pen LA0716 	2	adaxial	2	Aleksandra	01-Feb	131	0	1	130	0	131	12.56637061
S.pen LA0716 	2	abaxial	1	Aleksandra	01-Feb	141	0	1	140	0	141	12.56637061
S.pen LA0716 	2	abaxial	2	Aleksandra	01-Feb	150	0	2	148	0	150	12.56637061
S.pen LA0716 	4	adaxial	1	Michelle	01-Feb	73	0	0	73	0	73	12.56637061
S.pen LA0716 	4	adaxial	2	Michelle	01-Feb	43	0	0	43	0	43	12.56637061
S.pen LA0716 	4	abaxial	1	Michelle	01-Feb	200	0	0	200	0	200	12.56637061
S.pen LA0716 	4	abaxial	2	Michelle	01-Feb	130	0	0	130	0	130	12.56637061
S.neo LA0735 	3	adaxial	1	Michelle	30-Jan	1	77	1	0	0	78	12.56637061
S.neo LA0735 	3	adaxial	2	Michelle	30-Jan	4	35	4	0	0	39	12.56637061
S.neo LA0735 	3	abaxial	1	Michelle	30-Jan	4	195	4	0	0	199	12.56637061
S.neo LA0735 	3	abaxial	2	Michelle	30-Jan	1	74	1	0	0	75	12.56637061
S.neo LA0735 	4	adaxial	1	Aleksandra	30-Jan	34	21	34	0	0	55	12.56637061
S.neo LA0735 	4	adaxial	2	Aleksandra	30-Jan	14	5	14	0	0	19	12.56637061
S.neo LA0735 	4	abaxial	1	Aleksandra	30-Jan	12	63	12	0	0	75	12.56637061
S.neo LA0735 	4	abaxial	2	Aleksandra	30-Jan	6	58	6	0	0	64	12.56637061
S.neo LA0735 	5	adaxial	1	Aleksandra	31-Jan	17	47	17	0	0	64	12.56637061
S.neo LA0735 	5	adaxial	2	Aleksandra	31-Jan	18	30	18	0	0	48	12.56637061
