sample,accession,5.541_67.0557 ,7.060_95.0168 ,9.272_93.0728 ,9.472_91.0566 ,9.653_91.0565  -> RT = 9.678,10.148_93.0730 ,10.581_105.0363 ,10.873_119.0877 ,11.056_91.0567 ,11.572_91.0564 ,11.844_91.0573 ,11.96_91.0560 ,12.373_91.0575 ,12.618_119.0885 ,12.761_91.0557 ,13.396_91.0579 ,13.604_105.0725_blank ,14.572_91.0565 ,14.537_91.0571 ,14.844_105.0368 ,15.428_68.0279 ,15.562_91.0570 ,18.152_67.0559 ,18.702_97.0318 ,20.136_79.0560 ,20.614_58.0433 ,21.112_119.0858 ,21.260_109.1042 ,21.506_109.1042 ,21.673_129.0932 ,21.813_91.0566 ,22.444_161.1317 ,22.570_91.0567 ,22.891_161.1339 ,23.181_147.1173 ,23.223_93.0721 ,23.403_91.0566 ,23.681_91.0574 ,23.736_145.1019 ,23.997_91.0562 ,24.220_91.0566 ,24.291_119.0873 ,24.374_105.0720 ,24.442_95.0877 ,24.471_105.0723 ,24.500_81.0718 ,24.550_94.0801 ,24.602_117.0716 ,24.619_105.0723 ,24.707_93.0725 ,24.733_105.0717 ,24.806_119.8074 ,24.814_105.0723 ,24.843_161.1344 ,24.859_91.0567 ,25.020_145.1032 ,25.036_159.1160 ,25.153_119.0864 ,25.211_105.0732 ,25.356_105.0726 ,25.421_161.1340 ,25.421_58.0434 ,25.421_119.0869 ,25.508_105.0726 ,25.516_145.0981 ,25.533_105.0721 ,25.585_105.0719 ,25.641_119.0875 ,25.706_91.0568 ,25.779_97.0322 ,25.842_161.1316 ,25.911_105.0725 ,25.968_119.0881 ,26.045_91.0563 ,26.164_119.0865 ,26.200_105.0726 ,26.227_95.0152 ,26.529_131.0872 ,26.595_91.0568 ,26.689_109.1032 ,26.803_111.0836 ,26.833_81.0727 ,27.083_97.0317 ,27.996_91.0565 ,28.382_97.0323 ,30.160_91.0569 ,32.503_159.8606 
LA1718_5,LA1718,0,0,0,0,81747.9933,0,0,0,0,0,770712.2792,297449.4865,229810.2301,1154118,334253.0437,0,406630.546,0,0,0,0,0,0,0,0,61014.1921,0,0,0,0,0,0,0,116685.9323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105343.8223,97383.14503,53297.31721,0,0,0,0,139264.1515,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA1401_1,LA1401,0,0,0,0,998894.105,0,97379.1688,0,102854.8774,0,0,0,0,76360.77201,65968.63152,129726.1693,387630.7423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75632.41172,0,0,0,0,0,0,0,506392.4881,0,0,0,0,0,0,0,0,0,240957.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75177.18655,0,0,0,0,0,0,74123.66542,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI127826_1_rep_5x,PI127826,0,0,0,0,0,0,0,0,0,0,0,0,0,4245691.052,0,0,2479473.787,0,0,0,0,0,0,0,0,0,0,0,0,0,13831630.33,0,0,0,0,0,0,0,0,2126719.704,0,0,4771763.615,6631776.763,0,0,0,0,0,0,24165897.64,10283699.09,0,0,0,4245691.052,0,3934125.596,0,2209096.958,0,0,3778750.676,0,25554892.33,3054483.333,0,5051520.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA1278_4,LA1278,415433.1545,0,0,0,180183.3909,0,2168852.247,0,0,0,0,0,0,335189.2163,124731.6135,68661.85937,340897.1944,0,0,464718.4551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49338.45987,0,0,0,0,251170.969,0,0,0,0,148812.7688,0,0,0,240206.8668,97919.39995,0,0,0,0,0,0,0,0,0,299718.6845,151424.2186,0,0,45039.20282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LYC4_1_10x,LYC4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26953598.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159898079.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LYC4_3_10x,LYC4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57205085.07,0,0,0,0,0,0,0,0,0,0,0,0,0,9994339.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239819696.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA407_1_5x,LA0407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1409078.932,0,0,0,0,0,0,0,0,8643995.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9091643.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyc38_5_rep_1x,PI134418,0,0,0,0,0,0,0,0,0,0,103542.6291,0,0,341566.3006,72448.74651,64499.07719,260805.1228,0,0,0,0,0,0,0,0,290033.3725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456592.9371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA1278_3,LA1278,304016.6951,0,0,0,148568.8208,0,446917.6576,0,128232.7859,0,0,0,0,599354.2731,165518.8624,81049.70531,365854.5689,0,0,502953.8392,0,0,0,0,0,0,0,0,0,0,0,111262.6693,0,0,0,0,0,0,0,752359.6819,34756.619,0,0,0,95476.98112,0,0,0,109315.3885,557885.8926,0,0,0,0,0,0,0,0,0,144995.4603,91776.47856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA1364_2_lv,LA1364,0,0,168308.1668,62192.80561,63499.17302,112064.1913,0,0,0,233027.3358,54095.48694,6429549.033,2201696.035,109775.3492,4671305.354,2000774.568,191625.7455,57291.22871,186813.2391,0,0,0,132464.0361,0,16953.08619,0,0,0,0,0,0,25579.42968,0,0,14853.18155,0,0,0,0,178143.7099,0,0,0,0,0,0,0,0,32672.68084,58951.17903,0,40724.1147,0,0,0,0,0,0,0,37217.97572,38543.23688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
