sample,accession,G3:10 ,G2:4 ,G3:10-2 ,G3:11 ,S3:15 ,G3:11-2 ,S4:16 ,G2:5 ,Unknown ,G3:13 ,G3:14 ,G3:6 ,S4:17-2 ,S4:17 ,unknown ,S3:17-2 ,G3:7 ,G3:15-2 ,G3:15 ,S3:12 ,S4:23 ,S4:19-2 ,unknown-1 ,S4:19 ,S3:19 ,S3:18 ,S3:18-2 ,G3:16 ,G3:16-2 ,S3:19-2 ,G3:19 ,S4:20 ,S4:20-2 ,G3:19-2 ,Unknown-2 ,S4:21-3 ,S3:20-2 ,S4:21-2 ,S3:20-3 ,S3:20 ,S4:20-3 ,G3:18 ,S4:21 ,S4:21-4 ,S5:22 ,S4:22-2 ,S4:22 ,S3:21 ,S3:21-3 ,S3:21-2 ,S4:22-3 ,G4:21-3,S5:23 ,G4:21-2 ,S5:23-2 ,G4:21 ,S3:22 ,S5:24 ,S3:22-2 ,S4:23-2 ,S3:22-3 ,G4:22 ,G4:22-3,S3:22-4 ,S3:23 ,S4:24 ,G4:24 ,S2:22 ,G4:32 ,G4:24-2 ,S5:25 ,G4:23 ,G5:25 ,G4:23-2 ,G3:20-2 ,G3:20 ,S3:24 ,G3:21-2 ,G3:21 ,S1:27 ,G3:22 ,G3:22-3 ,G3:22-2 
85,LA1278,20.84545455,0,15.38181818,33.87727273,0,8.054545455,56.44545455,0,0,0,0,15.50909091,13.55909091,0,0,0,0,0,0,0,0,0,0,0,36.05,0,0,0,0,0,0,0,814.3181818,0,0,5.786363636,0,434.5272727,6.340909091,0,0,0,10.69090909,8.581818182,0,44.45,50.38181818,0,0,0,21.81363636,11.82727273,23.54090909,5.490909091,8.35,5.490909091,0,3.840909091,0,17.03636364,9.877272727,1.886363636,0,0,0,7.445454545,6.859090909,1.959090909,4.972727273,12.05,48.35454545,0,50.8,12.05,0,0,0,0,0,0,0,4.186363636,7.018181818
86,LA1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.79032258,0,0,63.59677419,0,240.6854839,0,0,0,0,36.22580645,36.22580645,0,9.564516129,79.2983871,0,0,0,0,39.55645161,139.4032258,8.717741935,36.97580645,8.717741935,0,0,0,0,9.290322581,24.05645161,1.935483871,0,0,27.7016129,17.92741935,0,3.14516129,38.09677419,151.8870968,0,166.1370968,17.04032258,0,0,0,0,0,0,0,1.258064516,0
127,LA1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.711111111,0,0,0,0,0,0,0,1.927777778,0,0,0,0,0,0,0,0,0,0,2.283333333,4.161111111,1.233333333,1.138888889
128,LA1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.896774194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.877419355,3.219354839,0,0,0,0,0,0,0,0,0,1.458064516,0,0,8.774193548,6.696774194
46,LA1364,1.10738255,0,1.70246085,0,0,0,12.20357942,0,0,0,0,0,4.953020134,0,0,0,0,0,9.67114094,0,0,0.494407159,0,3.14541387,0,0,0,0,0,0,0,0,228.3914989,0,0,255.1431767,4.098434004,912.9776286,0,0,0,0,144.7337808,143.2326622,0,46.70022371,472.1319911,0,0,0,0,85.53914989,395.8747204,32.24832215,154.9686801,32.24832215,0,0,0,1.37360179,4.161073826,34.68232662,26.5212528,0,0,88.06711409,19.22818792,0,0,59.06935123,174.4988814,0,202.4809843,50.57718121,0,0,0,0,0,0,0,4.463087248,0.37360179
47,LA1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.50222222,0,0,89.06666667,0,277.7955556,0,0,0,0,45.81777778,25.86666667,0,29.57777778,236.6711111,0,0,0,0,42.63555556,151.9511111,17.55111111,42.24,17.55111111,0,0,0,0,0,32.68888889,4.96,0,0,86.25777778,31.24444444,0,2.08,30.31111111,120.6888889,0,97.18666667,14.30666667,0,0,0,0,0,0,0,3.315555556,3.315555556
87,LA1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.90344828,0,0,125.2965517,0,311.4482759,0,0,0,0,42.55862069,42.32413793,0,5.089655172,177.0827586,0,0,0,0,48.62068966,71.43448276,29.91724138,50.52413793,32.2137931,0,0,0,0,15.3862069,30.44137931,2.455172414,0,0,35.29655172,0.862068966,0,9.186206897,15.40689655,52.33103448,0,147.0344828,9.296551724,0,0,0,0,0,0,0,0,2.765517241
88,LA1364,12.29473684,0,0,0,0,0,0,0,0,0,0,0,2.626315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294.7157895,0,0,22.46315789,21.47368421,181.5894737,0,0,0,0,36.4,22.11578947,0,0,50.12105263,0,2.478947368,2.478947368,5.710526316,24.04736842,61.23157895,7.231578947,0,7.321052632,0,0,2.857894737,0,22.46842105,25.68947368,5.094736842,0,0,26.46315789,8.931578947,1.357894737,3.005263158,20.10526316,87.44210526,0,113.5,14.90526316,0,0,0,0,0,0,0,1.510526316,0.542105263
129,LA1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.679425837,0,0,0,0,0,0,0,0,0,0,1.966507177,0,0,0
130,LA1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.676646707,4,0,0,0,0,0,0,0,0,0,0,2.886227545,0,0,0
